file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,70,css,19efd38b,Lbangayan,2025-01-24,17:41:34,-08:00,2025-01-24T17:41:34-08:00,0,11
style.css,71,css,19efd38b,Lbangayan,2025-01-24,17:41:34,-08:00,2025-01-24T17:41:34-08:00,0,12
style.css,72,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,60
style.css,73,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,64
style.css,74,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,0
style.css,75,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,0
style.css,76,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,12
style.css,77,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,45
style.css,78,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,0
style.css,79,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,0
style.css,80,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,26
style.css,81,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,10
style.css,82,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,13
style.css,83,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,82
style.css,84,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,41
style.css,85,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,0
style.css,86,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,0
style.css,87,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,18
style.css,88,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,13
style.css,89,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,54
style.css,90,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,34
style.css,91,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,39
style.css,92,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,0
style.css,93,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,0
style.css,94,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,13
style.css,95,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,43
style.css,96,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,0
style.css,97,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,0
style.css,98,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,19
style.css,99,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,3
style.css,100,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,50
style.css,101,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,0
style.css,102,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,0
style.css,103,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,23
style.css,104,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,51
style.css,105,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,45
style.css,106,css,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,0
style.css,107,css,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,0
style.css,108,css,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,26
style.css,109,css,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,18
style.css,110,css,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,13
style.css,111,css,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,68
style.css,112,css,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,41
style.css,113,css,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,0
style.css,114,css,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,0
style.css,115,css,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,18
style.css,116,css,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,58
style.css,117,css,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,42
style.css,118,css,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,0
style.css,119,css,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,0
style.css,120,css,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,18
style.css,121,css,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,59
style.css,122,css,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,37
style.css,123,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,124,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,19
style.css,125,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,15
style.css,126,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,17
style.css,127,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,128,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,17
style.css,129,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,130,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,22
style.css,131,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,11
style.css,132,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,42
style.css,133,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,54
style.css,134,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,55
style.css,135,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,136,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,137,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,19
style.css,138,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,56
style.css,139,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,140,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,141,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,19
style.css,142,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,8
style.css,143,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,13
style.css,144,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,88
style.css,145,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,41
style.css,146,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,16
style.css,147,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,10
style.css,148,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,9
style.css,149,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,150,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,151,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,13
style.css,152,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,42
style.css,153,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,49
style.css,154,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,50
style.css,155,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,156,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,157,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,16
style.css,158,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,10
style.css,159,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,11
style.css,160,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,19
style.css,161,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,30
style.css,162,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,41
style.css,163,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,164,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,18
style.css,165,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,17
style.css,166,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,12
style.css,167,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,168,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,169,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,170,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,5
style.css,171,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,17
style.css,172,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,173,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,174,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,30
style.css,175,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,15
style.css,176,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,15
style.css,177,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,178,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,179,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,33
style.css,180,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,10
style.css,181,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,13
style.css,182,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,17
style.css,183,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,184,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,185,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,10
style.css,186,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,36
style.css,187,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,188,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,11
style.css,189,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,18
style.css,190,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,191,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,192,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,193,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,35
style.css,194,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,22
style.css,195,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,17
style.css,196,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,30
style.css,197,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,12
style.css,198,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,199,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,0
style.css,200,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,11
style.css,201,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,66
style.css,202,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,54
style.css,203,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,65
style.css,204,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,95
style.css,205,css,d4840fa4,Lbangayan,2025-02-07,22:02:07,-08:00,2025-02-07T22:02:07-08:00,0,41
style.css,206,css,b200e2b8,Lbangayan,2025-01-17,22:09:21,-08:00,2025-01-17T22:09:21-08:00,0,0
index.js,1,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,101
index.js,2,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,0
index.js,3,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,55
index.js,4,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,21
index.js,5,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,43
index.js,6,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,61
index.js,7,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,55
index.js,8,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,0
index.js,9,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,53
index.js,10,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,61
index.js,11,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,18
index.js,12,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,25
index.js,13,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,3
index.js,14,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,56
index.js,15,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,56
index.js,16,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,50
index.js,17,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,50
index.js,18,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,4
index.js,19,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,1
index.js,20,js,53309c6a,Lbangayan,2025-01-31,20:06:05,-08:00,2025-01-31T20:06:05-08:00,0,0
index.html,1,html,f67207cf,Lbangayan,2025-01-10,19:39:25,-08:00,2025-01-10T19:39:25-08:00,0,14
index.html,2,html,6279a0c6,Lbangayan,2025-01-25,01:14:36,-08:00,2025-01-25T01:14:36-08:00,0,74
index.html,3,html,f67207cf,Lbangayan,2025-01-10,19:39:25,-08:00,2025-01-10T19:39:25-08:00,0,5
